t,x,y,z,vx,vy,vz,ax,ay,az
0.0,0.0,0.0,0.0,20.0,5.0,10.0,0.0,0.0,0.0
0.01,0.2,0.05,0.1,19.91,4.994,9.896,-8.945,-0.559,-10.369
0.02,0.399,0.099,0.198,19.821,4.988,9.792,-8.865,-0.557,-10.367
0.03,0.597,0.149,0.296,19.734,4.983,9.688,-8.786,-0.556,-10.366
0.04,0.794,0.199,0.393,19.646,4.977,9.585,-8.708,-0.555,-10.365
0.05,0.991,0.249,0.489,19.56,4.972,9.481,-8.632,-0.554,-10.364
0.06,1.186,0.299,0.584,19.475,4.966,9.378,-8.556,-0.552,-10.362
0.07,1.381,0.348,0.678,19.39,4.961,9.274,-8.481,-0.551,-10.361
0.08,1.575,0.398,0.77,19.306,4.955,9.17,-8.407,-0.55,-10.36
0.09,1.768,0.447,0.862,19.222,4.95,9.067,-8.335,-0.549,-10.359
0.1,1.96,0.497,0.953,19.14,4.944,8.963,-8.263,-0.547,-10.357
0.1,2.152,0.546,1.042,19.058,4.939,8.86,-8.192,-0.546,-10.356
0.11,2.342,0.596,1.131,18.977,4.933,8.756,-8.122,-0.545,-10.355
0.12,2.532,0.645,1.219,18.896,4.928,8.652,-8.053,-0.544,-10.354
0.13,2.721,0.694,1.305,18.816,4.922,8.549,-7.985,-0.543,-10.353
0.15,2.909,0.744,1.391,18.737,4.917,8.445,-7.917,-0.541,-10.351
0.16,3.096,0.793,1.475,18.658,4.912,8.342,-7.851,-0.54,-10.35
0.17,3.283,0.842,1.559,18.581,4.906,8.238,-7.785,-0.539,-10.349
0.18,3.469,0.891,1.641,18.503,4.901,8.135,-7.72,-0.538,-10.348
0.19,3.654,0.94,1.722,18.427,4.895,8.031,-7.656,-0.537,-10.347
0.2,3.838,0.989,1.803,18.351,4.89,7.928,-7.593,-0.536,-10.346
0.21,4.022,1.038,1.882,18.276,4.885,7.825,-7.531,-0.534,-10.344
0.22,4.204,1.087,1.96,18.201,4.879,7.721,-7.469,-0.533,-10.343
0.23,4.386,1.136,2.037,18.127,4.874,7.618,-7.408,-0.532,-10.342
0.24,4.568,1.184,2.114,18.053,4.869,7.514,-7.348,-0.531,-10.341
0.25,4.748,1.233,2.189,17.98,4.863,7.411,-7.288,-0.53,-10.34
0.26,4.928,1.282,2.263,17.908,4.858,7.307,-7.23,-0.529,-10.339
0.27,5.107,1.33,2.336,17.836,4.853,7.204,-7.172,-0.527,-10.337
0.28,5.286,1.379,2.408,17.765,4.848,7.101,-7.114,-0.526,-10.336
0.29,5.463,1.427,2.479,17.695,4.842,6.997,-7.058,-0.525,-10.335
0.3,5.64,1.476,2.549,17.625,4.837,6.894,-7.002,-0.524,-10.334
0.31,5.816,1.524,2.618,17.555,4.832,6.791,-6.946,-0.523,-10.333
0.32,5.992,1.572,2.686,17.486,4.827,6.687,-6.892,-0.522,-10.332
0.33,6.167,1.621,2.753,17.418,4.821,6.584,-6.838,-0.521,-10.331
0.34,6.341,1.669,2.819,17.35,4.816,6.481,-6.784,-0.519,-10.329
0.35,6.514,1.717,2.883,17.283,4.811,6.377,-6.732,-0.518,-10.328
0.36,6.687,1.765,2.947,17.216,4.806,6.274,-6.679,-0.517,-10.327
0.37,6.859,1.813,3.01,17.15,4.801,6.171,-6.628,-0.516,-10.326
0.38,7.031,1.861,3.072,17.084,4.795,6.068,-6.577,-0.515,-10.325
0.39,7.202,1.909,3.132,17.019,4.79,5.964,-6.527,-0.514,-10.324
0.4,7.372,1.957,3.192,16.954,4.785,5.861,-6.477,-0.513,-10.323
0.41,7.542,2.005,3.251,16.89,4.78,5.758,-6.428,-0.512,-10.322
0.42,7.71,2.053,3.308,16.826,4.775,5.655,-6.379,-0.511,-10.321
0.43,7.879,2.101,3.365,16.762,4.77,5.552,-6.331,-0.509,-10.319
0.44,8.046,2.148,3.42,16.7,4.765,5.448,-6.283,-0.508,-10.318
0.45,8.213,2.196,3.475,16.637,4.76,5.345,-6.236,-0.507,-10.317
0.46,8.38,2.243,3.528,16.575,4.755,5.242,-6.19,-0.506,-10.316
